index,stop_word
1,a
2,able
3,about
4,above
5,abst
6,accordance
7,according
8,accordingly
9,across
10,act
11,actually
12,added
13,adj
14,affected
15,affecting
16,affects
17,after
18,afterwards
19,again
20,against
21,ah
22,all
23,almost
24,alone
25,along
26,already
27,also
28,although
29,always
30,am
31,among
32,amongst
33,an
34,and
35,announce
36,another
37,any
38,anybody
39,anyhow
40,anymore
41,anyone
42,anything
43,anyway
44,anyways
45,anywhere
46,apparently
47,approximately
48,are
49,aren
50,arent
51,arise
52,around
53,as
54,aside
55,ask
56,asking
57,at
58,auth
59,available
60,away
61,awfully
62,b
63,back
64,be
65,became
66,because
67,become
68,becomes
69,becoming
70,been
71,before
72,beforehand
73,begin
74,beginning
75,beginnings
76,begins
77,behind
78,being
79,believe
80,below
81,beside
82,besides
83,between
84,beyond
85,biol
86,both
87,brief
88,briefly
89,but
90,by
91,c
92,ca
93,came
94,can
95,cannot
96,can't
97,cause
98,causes
99,certain
100,certainly
101,co
102,com
103,come
104,comes
105,contain
106,containing
107,contains
108,could
109,couldnt
110,d
111,date
112,did
113,didn't
114,different
115,do
116,does
117,doesn't
118,doing
119,done
120,don't
121,down
122,downwards
123,due
124,during
125,e
126,each
127,ed
128,edu
129,effect
130,eg
131,eight
132,eighty
133,either
134,else
135,elsewhere
136,end
137,ending
138,enough
139,especially
140,et
141,et-al
142,etc
143,even
144,ever
145,every
146,everybody
147,everyone
148,everything
149,everywhere
150,ex
151,except
152,f
153,far
154,few
155,ff
156,fifth
157,first
158,five
159,fix
160,followed
161,following
162,follows
163,for
164,former
165,formerly
166,forth
167,found
168,four
169,from
170,further
171,furthermore
172,g
173,gave
174,get
175,gets
176,getting
177,give
178,given
179,gives
180,giving
181,go
182,goes
183,gone
184,got
185,gotten
186,h
187,had
188,happens
189,hardly
190,has
191,hasn't
192,have
193,haven't
194,having
195,he
196,hed
197,hence
198,her
199,here
200,hereafter
201,hereby
202,herein
203,heres
204,hereupon
205,hers
206,herself
207,hes
208,hi
209,hid
210,him
211,himself
212,his
213,hither
214,home
215,how
216,howbeit
217,however
218,hundred
219,i
220,id
221,ie
222,if
223,i'll
224,im
225,immediate
226,immediately
227,importance
228,important
229,in
230,inc
231,indeed
232,index
233,information
234,instead
235,into
236,invention
237,inward
238,is
239,isn't
240,it
241,itd
242,it'll
243,its
244,itself
245,i've
246,j
247,just
248,k
249,keep
250,keeps
251,kept
252,kg
253,km
254,know
255,known
256,knows
257,l
258,largely
259,last
260,lately
261,later
262,latter
263,latterly
264,least
265,less
266,lest
267,let
268,lets
269,like
270,liked
271,likely
272,line
273,little
274,'ll
275,look
276,looking
277,looks
278,ltd
279,m
280,made
281,mainly
282,make
283,makes
284,many
285,may
286,maybe
287,me
288,mean
289,means
290,meantime
291,meanwhile
292,merely
293,mg
294,might
295,million
296,miss
297,ml
298,more
299,moreover
300,most
301,mostly
302,mr
303,mrs
304,much
305,mug
306,must
307,my
308,myself
309,n
310,na
311,name
312,namely
313,nay
314,nd
315,near
316,nearly
317,necessarily
318,necessary
319,need
320,needs
321,neither
322,never
323,nevertheless
324,new
325,next
326,nine
327,ninety
328,no
329,nobody
330,non
331,none
332,nonetheless
333,noone
334,nor
335,normally
336,nos
337,not
338,noted
339,nothing
340,now
341,nowhere
342,o
343,obtain
344,obtained
345,obviously
346,of
347,off
348,often
349,oh
350,ok
351,okay
352,old
353,omitted
354,on
355,once
356,one
357,ones
358,only
359,onto
360,or
361,ord
362,other
363,others
364,otherwise
365,ought
366,our
367,ours
368,ourselves
369,out
370,outside
371,over
372,overall
373,owing
374,own
375,p
376,page
377,pages
378,part
379,particular
380,particularly
381,past
382,per
383,perhaps
384,placed
385,please
386,plus
387,poorly
388,possible
389,possibly
390,potentially
391,pp
392,predominantly
393,present
394,previously
395,primarily
396,probably
397,promptly
398,proud
399,provides
400,put
401,q
402,que
403,quickly
404,quite
405,qv
406,r
407,ran
408,rather
409,rd
410,re
411,readily
412,really
413,recent
414,recently
415,ref
416,refs
417,regarding
418,regardless
419,regards
420,related
421,relatively
422,research
423,respectively
424,resulted
425,resulting
426,results
427,right
428,run
429,s
430,said
431,same
432,saw
433,say
434,saying
435,says
436,sec
437,section
438,see
439,seeing
440,seem
441,seemed
442,seeming
443,seems
444,seen
445,self
446,selves
447,sent
448,seven
449,several
450,shall
451,she
452,shed
453,she'll
454,shes
455,should
456,shouldn't
457,show
458,showed
459,shown
460,showns
461,shows
462,significant
463,significantly
464,similar
465,similarly
466,since
467,six
468,slightly
469,so
470,some
471,somebody
472,somehow
473,someone
474,somethan
475,something
476,sometime
477,sometimes
478,somewhat
479,somewhere
480,soon
481,sorry
482,specifically
483,specified
484,specify
485,specifying
486,still
487,stop
488,strongly
489,sub
490,substantially
491,successfully
492,such
493,sufficiently
494,suggest
495,sup
496,sure
497,t
498,take
499,taken
500,taking
501,tell
502,tends
503,th
504,than
505,thank
506,thanks
507,thanx
508,that
509,that'll
510,thats
511,that've
512,the
513,their
514,theirs
515,them
516,themselves
517,then
518,thence
519,there
520,thereafter
521,thereby
522,thered
523,therefore
524,therein
525,there'll
526,thereof
527,therere
528,theres
529,thereto
530,thereupon
531,there've
532,these
533,they
534,theyd
535,they'll
536,theyre
537,they've
538,think
539,this
540,those
541,thou
542,though
543,thoughh
544,thousand
545,throug
546,through
547,throughout
548,thru
549,thus
550,til
551,tip
552,to
553,together
554,too
555,took
556,toward
557,towards
558,tried
559,tries
560,truly
561,try
562,trying
563,ts
564,twice
565,two
566,u
567,un
568,under
569,unfortunately
570,unless
571,unlike
572,unlikely
573,until
574,unto
575,up
576,upon
577,ups
578,us
579,use
580,used
581,useful
582,usefully
583,usefulness
584,uses
585,using
586,usually
587,v
588,value
589,various
590,'ve
591,very
592,via
593,viz
594,vol
595,vols
596,vs
597,w
598,want
599,wants
600,was
601,wasnt
602,way
603,we
604,wed
605,welcome
606,we'll
607,went
608,were
609,werent
610,we've
611,what
612,whatever
613,what'll
614,whats
615,when
616,whence
617,whenever
618,where
619,whereafter
620,whereas
621,whereby
622,wherein
623,wheres
624,whereupon
625,wherever
626,whether
627,which
628,while
629,whim
630,whither
631,who
632,whod
633,whoever
634,whole
635,who'll
636,whom
637,whomever
638,whos
639,whose
640,why
641,widely
642,willing
643,wish
644,with
645,within
646,without
647,wont
648,words
649,world
650,would
651,wouldnt
652,www
653,x
654,y
655,yes
656,yet
657,you
658,youd
659,you'll
660,your
661,youre
662,yours
663,yourself
664,yourselves
665,you've
666,z
667,zero
