index,stop_word
1,a
2,about
3,above
4,after
5,again
6,against
7,all
8,am
9,an
10,and
11,any
12,are
13,aren't
14,as
15,at
16,be
17,because
18,been
19,before
20,being
21,below
22,between
23,both
24,but
25,by
26,can't
27,cannot
28,could
29,couldn't
30,did
31,didn't
32,do
33,does
34,doesn't
35,doing
36,don't
37,down
38,during
39,each
40,few
41,for
42,from
43,further
44,had
45,hadn't
46,has
47,hasn't
48,have
49,haven't
50,having
51,he
52,he'd
53,he'll
54,he's
55,her
56,here
57,here's
58,hers
59,herself
60,him
61,himself
62,his
63,how
64,how's
65,i
66,i'd
67,i'll
68,i'm
69,i've
70,if
71,in
72,into
73,is
74,isn't
75,it
76,it's
77,its
78,itself
79,let's
80,me
81,more
82,most
83,mustn't
84,my
85,myself
86,no
87,nor
88,not
89,of
90,off
91,on
92,once
93,only
94,or
95,other
96,ought
97,our
98,ours
